startOne,startTwo,endOne,endTwo,title
0,0,2,19,Martin Garrix & DubVision feat. Jaimes - Empty (Intro Edit)
2,20,3,49,ID - ID
3,50,5,19,Martin Garrix & Matisse & Sadko - Good Morning
5,20,8,46,Martin Garrix & MOTI - Virus
8,47,11,38,Eleganto - Express Yourself (ID)
11,39,12,53,070 Shakes - Cocoon (Martin Garrix & Space Ducks Remix)
12,54,14,44,Martin Garrix & Third Party - Lions In The Wild
14,45,16,29,Martin Garrix & Sentinal feat. Bonn vs Avicii - Hurricane vs Fade Into Darkness (Martin Garrix Mashup)
16,30,18,6,Martin Garrix & Third Party - Something To Believe In (ID)
18,7,21,45,Lewis Capaldi - Someone You Loved (Martin Garrix Remix)
21,46,24,36,Martin Garrix & Mesto feat. WILHELM - Breakaway
24,37,26,21,Martin Garrix & Zedd - Follow
26,22,28,59,AREA21 - Drinks Up (ID)
29,0,31,25,ALOK & The Chainsmokers ft. Mae Stephens vs Martin Garrix & Dua Lipa - Jungle (Arcando Remix) vs Scared To Be Lonely (Martin Garrix Mashup)
31,26,32,35,Martin Garrix & Mesto - Limitless
32,36,34,56,Avicii - Waiting For Love
34,57,36,33,Martin Garrix & DubVision feat. Shaun Farrugia - Starlight (Keep Me Afloat)
36,34,40,27,Martin Garrix feat. Bonn - High On Life
40,28,42,41,"Dimitri Vegas, Martin Garrix, Like Mike - Tremor"
42,42,44,55,Martin Garrix & Sem Vox - Gravity
44,56,46,17,Martin Garrix - Animals
46,18,48,50,Martin Garrix & Blinders vs Martin Garrix ft. Macklemore & Patrick Stump of Fall Out Boy - Breach vs Summer Days (Martin Garrix Mashup)
48,51,50,4,Julian Jordan - ID
50,5,51,48,Matisse & Sadko - ID
51,49,54,16,Alesso & Sentinel vs. Sander van Doorn & Martin Garrix & DVBBS & Aleesia - Interstellar vs. Gold Skies (Martin Garrix Mashup)
54,17,57,29,Martin Garrix & JVKE vs Kx5 & Hayla & John Summit -- Hero (DubVision Remix) vs Escape (Martin Garrix Mashup)
57,30,60,35,Martin Garrix & Bebe Rexha vs Martin Garrix & Blinders - In The Name Of Love vs Aurora (Martin Garrix Mashup)
60,36,62,21,Martin Garrix & DubVision feat. Jordan Grace - Oxygen
62,22,65,9,Martin Garrix & Third Party feat. Oaks & Declan J Donovan - Carry You
65,10,69,41,Martin Garrix & DubVision feat. Shaun Farrugia - Wherever You Are (ID) (Outro Edit)
